"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","::","ff02::1:ff89:62c2","ICMPv6","86","Neighbor Solicitation for fe80::d894:a7ff:fe89:62c2"
"2","0.222076","7e:18:b0:03:54:b8","Broadcast","ARP","42","ARP Announcement for 172.25.0.30"
"3","0.223832","::","ff02::16","ICMPv6","110","Multicast Listener Report Message v2"
"4","0.287830","::","ff02::1:ff36:1f4c","ICMPv6","86","Neighbor Solicitation for fe80::ec95:a2ff:fe36:1f4c"
"5","0.342884","172.25.0.1","224.0.0.251","MDNS","119","Standard query response 0x0000 PTR, cache flush debian.local A, cache flush 172.25.0.1"
"6","0.425745","3a:b2:32:10:d2:de","Broadcast","ARP","42","ARP Announcement for 172.25.0.40"
"7","1.024032","fe80::d894:a7ff:fe89:62c2","ff02::16","ICMPv6","110","Multicast Listener Report Message v2"
"8","1.039871","fe80::d894:a7ff:fe89:62c2","ff02::16","ICMPv6","90","Multicast Listener Report Message v2"
"9","1.115631","fe80::d894:a7ff:fe89:62c2","ff02::fb","MDNS","212","Standard query 0x0000 ANY 2.c.2.6.9.8.e.f.f.f.7.a.4.9.8.d.0.0.0.0.0.0.0.0.0.0.0.0.0.8.e.f.ip6.arpa, ""QM"" question ANY debian.local, ""QM"" question AAAA fe80::d894:a7ff:fe89:62c2 PTR debian.local"
"10","1.115742","172.25.0.1","224.0.0.251","MDNS","192","Standard query 0x0000 ANY 2.c.2.6.9.8.e.f.f.f.7.a.4.9.8.d.0.0.0.0.0.0.0.0.0.0.0.0.0.8.e.f.ip6.arpa, ""QM"" question ANY debian.local, ""QM"" question AAAA fe80::d894:a7ff:fe89:62c2 PTR debian.local"
"11","1.115981","172.25.0.1","224.0.0.251","MDNS","82","Standard query response 0x0000 A, cache flush 172.25.0.1"
"12","1.124569","fe80::d894:a7ff:fe89:62c2","ff02::fb","MDNS","107","Standard query 0x0000 PTR _ipps._tcp.local, ""QM"" question PTR _ipp._tcp.local, ""QM"" question"
"13","1.187960","fe80::d894:a7ff:fe89:62c2","ff02::16","ICMPv6","130","Multicast Listener Report Message v2"
"14","1.222337","7e:18:b0:03:54:b8","Broadcast","ARP","42","ARP Announcement for 172.25.0.30"
"15","1.311976","fe80::ec95:a2ff:fe36:1f4c","ff02::16","ICMPv6","90","Multicast Listener Report Message v2"
"16","1.311987","fe80::ec95:a2ff:fe36:1f4c","ff02::2","ICMPv6","70","Router Solicitation from ee:95:a2:36:1f:4c"
"17","1.327939","fe80::ec95:a2ff:fe36:1f4c","ff02::16","ICMPv6","90","Multicast Listener Report Message v2"
"18","1.343950","fe80::ec95:a2ff:fe36:1f4c","ff02::16","ICMPv6","90","Multicast Listener Report Message v2"
"19","1.365885","fe80::d894:a7ff:fe89:62c2","ff02::fb","MDNS","212","Standard query 0x0000 ANY 2.c.2.6.9.8.e.f.f.f.7.a.4.9.8.d.0.0.0.0.0.0.0.0.0.0.0.0.0.8.e.f.ip6.arpa, ""QM"" question ANY debian.local, ""QM"" question AAAA fe80::d894:a7ff:fe89:62c2 PTR debian.local"
"20","1.365931","172.25.0.1","224.0.0.251","MDNS","192","Standard query 0x0000 ANY 2.c.2.6.9.8.e.f.f.f.7.a.4.9.8.d.0.0.0.0.0.0.0.0.0.0.0.0.0.8.e.f.ip6.arpa, ""QM"" question ANY debian.local, ""QM"" question AAAA fe80::d894:a7ff:fe89:62c2 PTR debian.local"
"21","1.403636","fe80::ec95:a2ff:fe36:1f4c","ff02::fb","MDNS","212","Standard query 0x0000 ANY c.4.f.1.6.3.e.f.f.f.2.a.5.9.c.e.0.0.0.0.0.0.0.0.0.0.0.0.0.8.e.f.ip6.arpa, ""QM"" question ANY debian.local, ""QM"" question AAAA fe80::ec95:a2ff:fe36:1f4c PTR debian.local"
"22","1.412896","fe80::ec95:a2ff:fe36:1f4c","ff02::fb","MDNS","107","Standard query 0x0000 PTR _ipps._tcp.local, ""QM"" question PTR _ipp._tcp.local, ""QM"" question"
"23","1.425947","3a:b2:32:10:d2:de","Broadcast","ARP","42","ARP Announcement for 172.25.0.40"
"24","1.613217","172.25.0.1","224.0.0.251","MDNS","87","Standard query 0x0000 PTR _ipps._tcp.local, ""QM"" question PTR _ipp._tcp.local, ""QM"" question"
"25","1.616384","fe80::d894:a7ff:fe89:62c2","ff02::fb","MDNS","212","Standard query 0x0000 ANY 2.c.2.6.9.8.e.f.f.f.7.a.4.9.8.d.0.0.0.0.0.0.0.0.0.0.0.0.0.8.e.f.ip6.arpa, ""QM"" question ANY debian.local, ""QM"" question AAAA fe80::d894:a7ff:fe89:62c2 PTR debian.local"
"26","1.616421","172.25.0.1","224.0.0.251","MDNS","192","Standard query 0x0000 ANY 2.c.2.6.9.8.e.f.f.f.7.a.4.9.8.d.0.0.0.0.0.0.0.0.0.0.0.0.0.8.e.f.ip6.arpa, ""QM"" question ANY debian.local, ""QM"" question AAAA fe80::d894:a7ff:fe89:62c2 PTR debian.local"
"27","1.616508","172.25.0.1","224.0.0.251","MDNS","82","Standard query response 0x0000 A, cache flush 172.25.0.1"
"28","1.653832","fe80::ec95:a2ff:fe36:1f4c","ff02::fb","MDNS","212","Standard query 0x0000 ANY c.4.f.1.6.3.e.f.f.f.2.a.5.9.c.e.0.0.0.0.0.0.0.0.0.0.0.0.0.8.e.f.ip6.arpa, ""QM"" question ANY debian.local, ""QM"" question AAAA fe80::ec95:a2ff:fe36:1f4c PTR debian.local"
"29","1.816039","172.25.0.1","224.0.0.251","MDNS","180","Standard query response 0x0000 PTR, cache flush debian.local AAAA, cache flush fe80::d894:a7ff:fe89:62c2"
"30","1.816138","fe80::d894:a7ff:fe89:62c2","ff02::fb","MDNS","200","Standard query response 0x0000 PTR, cache flush debian.local AAAA, cache flush fe80::d894:a7ff:fe89:62c2"
"31","1.903390","fe80::ec95:a2ff:fe36:1f4c","ff02::fb","MDNS","212","Standard query 0x0000 ANY c.4.f.1.6.3.e.f.f.f.2.a.5.9.c.e.0.0.0.0.0.0.0.0.0.0.0.0.0.8.e.f.ip6.arpa, ""QM"" question ANY debian.local, ""QM"" question AAAA fe80::ec95:a2ff:fe36:1f4c PTR debian.local"
"32","2.047943","fe80::d894:a7ff:fe89:62c2","ff02::16","ICMPv6","90","Multicast Listener Report Message v2"
"33","2.104275","fe80::ec95:a2ff:fe36:1f4c","ff02::fb","MDNS","200","Standard query response 0x0000 PTR, cache flush debian.local AAAA, cache flush fe80::ec95:a2ff:fe36:1f4c"
"34","2.124715","fe80::d894:a7ff:fe89:62c2","ff02::fb","MDNS","107","Standard query 0x0000 PTR _ipps._tcp.local, ""QM"" question PTR _ipp._tcp.local, ""QM"" question"
"35","2.271932","fe80::ec95:a2ff:fe36:1f4c","ff02::16","ICMPv6","110","Multicast Listener Report Message v2"
"36","2.383656","172.25.0.1","224.0.0.251","MDNS","119","Standard query response 0x0000 PTR, cache flush debian.local A, cache flush 172.25.0.1"
"37","2.413485","fe80::ec95:a2ff:fe36:1f4c","ff02::fb","MDNS","107","Standard query 0x0000 PTR _ipps._tcp.local, ""QM"" question PTR _ipp._tcp.local, ""QM"" question"
"38","2.856561","172.25.0.1","224.0.0.251","MDNS","180","Standard query response 0x0000 PTR, cache flush debian.local AAAA, cache flush fe80::d894:a7ff:fe89:62c2"
"39","2.856664","fe80::d894:a7ff:fe89:62c2","ff02::fb","MDNS","200","Standard query response 0x0000 PTR, cache flush debian.local AAAA, cache flush fe80::d894:a7ff:fe89:62c2"
"40","3.144721","fe80::ec95:a2ff:fe36:1f4c","ff02::fb","MDNS","200","Standard query response 0x0000 PTR, cache flush debian.local AAAA, cache flush fe80::ec95:a2ff:fe36:1f4c"
"41","3.315128","172.25.0.1","239.255.255.250","SSDP","214","M-SEARCH * HTTP/1.1 "
"42","4.125278","fe80::d894:a7ff:fe89:62c2","ff02::fb","MDNS","107","Standard query 0x0000 PTR _ipps._tcp.local, ""QM"" question PTR _ipp._tcp.local, ""QM"" question"
"43","4.316016","172.25.0.1","239.255.255.250","SSDP","214","M-SEARCH * HTTP/1.1 "
"44","4.413821","fe80::ec95:a2ff:fe36:1f4c","ff02::fb","MDNS","107","Standard query 0x0000 PTR _ipps._tcp.local, ""QM"" question PTR _ipp._tcp.local, ""QM"" question"
"45","4.897268","172.25.0.1","224.0.0.251","MDNS","180","Standard query response 0x0000 PTR, cache flush debian.local AAAA, cache flush fe80::d894:a7ff:fe89:62c2"
"46","4.897343","fe80::d894:a7ff:fe89:62c2","ff02::fb","MDNS","200","Standard query response 0x0000 PTR, cache flush debian.local AAAA, cache flush fe80::d894:a7ff:fe89:62c2"
"47","5.184967","fe80::ec95:a2ff:fe36:1f4c","ff02::fb","MDNS","200","Standard query response 0x0000 PTR, cache flush debian.local AAAA, cache flush fe80::ec95:a2ff:fe36:1f4c"
"48","5.316087","172.25.0.1","239.255.255.250","SSDP","214","M-SEARCH * HTTP/1.1 "
"49","5.613184","172.25.0.1","224.0.0.251","MDNS","87","Standard query 0x0000 PTR _ipps._tcp.local, ""QM"" question PTR _ipp._tcp.local, ""QM"" question"
"50","5.663880","fe80::ec95:a2ff:fe36:1f4c","ff02::2","ICMPv6","70","Router Solicitation from ee:95:a2:36:1f:4c"
"51","6.315653","172.25.0.1","224.0.0.251","MDNS","82","Standard query 0x0000 PTR _googlecast._tcp.local, ""QM"" question"
"52","6.315740","172.25.0.1","224.0.0.251","MDNS","82","Standard query 0x0000 PTR _googlecast._tcp.local, ""QM"" question"
"53","6.316883","172.25.0.1","239.255.255.250","SSDP","214","M-SEARCH * HTTP/1.1 "
"54","7.316481","172.25.0.1","224.0.0.251","MDNS","82","Standard query 0x0000 PTR _googlecast._tcp.local, ""QM"" question"
"55","7.316790","172.25.0.1","224.0.0.251","MDNS","82","Standard query 0x0000 PTR _googlecast._tcp.local, ""QM"" question"
"56","7.707064","da:94:a7:89:62:c2","Broadcast","ARP","42","Who has 172.25.0.40? Tell 172.25.0.1"
"57","7.707090","3a:b2:32:10:d2:de","da:94:a7:89:62:c2","ARP","42","172.25.0.40 is at 3a:b2:32:10:d2:de"
"58","7.707108","172.25.0.1","172.25.0.40","TCP","74","41064  >  80 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=2712752940 TSecr=0 WS=128"
"59","7.707130","172.25.0.40","172.25.0.1","TCP","74","80  >  41064 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM TSval=3115034192 TSecr=2712752940 WS=128"
"60","7.707155","172.25.0.1","172.25.0.40","TCP","66","41064  >  80 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=2712752940 TSecr=3115034192"
"61","7.707306","172.25.0.1","172.25.0.40","HTTP","455","GET / HTTP/1.1 "
"62","7.707323","172.25.0.40","172.25.0.1","TCP","66","80  >  41064 [ACK] Seq=1 Ack=390 Win=64896 Len=0 TSval=3115034192 TSecr=2712752940"
"63","7.711202","172.25.0.40","172.25.0.1","HTTP","2009","HTTP/1.1 302 Found  (text/html)"
"64","7.711218","172.25.0.1","172.25.0.40","TCP","66","41064  >  80 [ACK] Seq=390 Ack=1944 Win=64000 Len=0 TSval=2712752944 TSecr=3115034196"
"65","7.716734","da:94:a7:89:62:c2","Broadcast","ARP","42","Who has 172.25.0.30? Tell 172.25.0.1"
"66","8.125758","fe80::d894:a7ff:fe89:62c2","ff02::fb","MDNS","107","Standard query 0x0000 PTR _ipps._tcp.local, ""QM"" question PTR _ipp._tcp.local, ""QM"" question"
"67","8.413839","fe80::ec95:a2ff:fe36:1f4c","ff02::fb","MDNS","107","Standard query 0x0000 PTR _ipps._tcp.local, ""QM"" question PTR _ipp._tcp.local, ""QM"" question"
"68","9.316819","172.25.0.1","224.0.0.251","MDNS","82","Standard query 0x0000 PTR _googlecast._tcp.local, ""QM"" question"
"69","9.316938","172.25.0.1","224.0.0.251","MDNS","82","Standard query 0x0000 PTR _googlecast._tcp.local, ""QM"" question"
"70","12.831874","3a:b2:32:10:d2:de","da:94:a7:89:62:c2","ARP","42","Who has 172.25.0.1? Tell 172.25.0.40"
"71","12.831904","da:94:a7:89:62:c2","3a:b2:32:10:d2:de","ARP","42","172.25.0.1 is at da:94:a7:89:62:c2"
"72","13.335541","172.25.0.1","172.25.0.40","HTTP","956","GET /oauth2callback?code=eib6hosv4k6z4knmbgu7igpbv&state=hKT8wq6UU3YwPrzU8gDD6VqiSQw HTTP/1.1 "
"73","13.344961","172.25.0.40","172.25.0.1","HTTP","1149","HTTP/1.1 302 Found  (text/html)"
"74","13.344976","172.25.0.1","172.25.0.40","TCP","66","41064  >  80 [ACK] Seq=1280 Ack=3027 Win=64128 Len=0 TSval=2712758578 TSecr=3115039830"
"75","13.346647","172.25.0.1","172.25.0.40","HTTP","586","GET / HTTP/1.1 "
"76","13.352141","172.25.0.40","172.25.0.1","HTTP","2596","HTTP/1.1 200 OK  (text/html)"
"77","13.352222","172.25.0.1","172.25.0.40","TCP","66","41064  >  80 [ACK] Seq=1800 Ack=5557 Win=64128 Len=0 TSval=2712758585 TSecr=3115039837"
"78","13.391047","172.25.0.1","172.25.0.40","HTTP","509","GET /favicon.ico HTTP/1.1 "
"79","13.393887","172.25.0.40","172.25.0.1","HTTP","910","HTTP/1.1 404 NOT FOUND  (text/html)"
"80","13.439834","172.25.0.1","172.25.0.40","TCP","66","41064  >  80 [ACK] Seq=2243 Ack=6401 Win=64128 Len=0 TSval=2712758673 TSecr=3115039879"
"81","13.616228","172.25.0.1","224.0.0.251","MDNS","87","Standard query 0x0000 PTR _ipps._tcp.local, ""QM"" question PTR _ipp._tcp.local, ""QM"" question"
"82","14.623902","fe80::ec95:a2ff:fe36:1f4c","ff02::2","ICMPv6","70","Router Solicitation from ee:95:a2:36:1f:4c"
"83","15.965652","172.25.0.1","172.25.0.40","HTTP","586","GET / HTTP/1.1 "
"84","15.970453","172.25.0.40","172.25.0.1","HTTP","2485","HTTP/1.1 200 OK  (text/html)"
"85","15.970476","172.25.0.1","172.25.0.40","TCP","66","41064  >  80 [ACK] Seq=2763 Ack=8820 Win=63744 Len=0 TSval=2712761203 TSecr=3115042455"
"86","16.125993","fe80::d894:a7ff:fe89:62c2","ff02::fb","MDNS","107","Standard query 0x0000 PTR _ipps._tcp.local, ""QM"" question PTR _ipp._tcp.local, ""QM"" question"
"87","16.414863","fe80::ec95:a2ff:fe36:1f4c","ff02::fb","MDNS","107","Standard query 0x0000 PTR _ipps._tcp.local, ""QM"" question PTR _ipp._tcp.local, ""QM"" question"
"88","16.528248","172.25.0.1","172.25.0.40","HTTP","586","GET / HTTP/1.1 "
"89","16.532871","172.25.0.40","172.25.0.1","HTTP","2485","HTTP/1.1 200 OK  (text/html)"
"90","16.532885","172.25.0.1","172.25.0.40","TCP","66","41064  >  80 [ACK] Seq=3283 Ack=11239 Win=63744 Len=0 TSval=2712761766 TSecr=3115043018"
"91","29.628235","172.25.0.1","224.0.0.251","MDNS","87","Standard query 0x0000 PTR _ipps._tcp.local, ""QM"" question PTR _ipp._tcp.local, ""QM"" question"
"92","31.535878","172.25.0.40","172.25.0.1","TCP","66","80  >  41064 [FIN, ACK] Seq=11239 Ack=3283 Win=64128 Len=0 TSval=3115058021 TSecr=2712761766"
"93","31.579921","172.25.0.1","172.25.0.40","TCP","66","41064  >  80 [ACK] Seq=3283 Ack=11240 Win=64128 Len=0 TSval=2712776813 TSecr=3115058021"
"94","32.126910","fe80::d894:a7ff:fe89:62c2","ff02::fb","MDNS","107","Standard query 0x0000 PTR _ipps._tcp.local, ""QM"" question PTR _ipp._tcp.local, ""QM"" question"
"95","32.416002","fe80::ec95:a2ff:fe36:1f4c","ff02::fb","MDNS","107","Standard query 0x0000 PTR _ipps._tcp.local, ""QM"" question PTR _ipp._tcp.local, ""QM"" question"
"96","33.315833","fe80::ec95:a2ff:fe36:1f4c","ff02::2","ICMPv6","70","Router Solicitation from ee:95:a2:36:1f:4c"
"97","61.636928","172.25.0.1","224.0.0.251","MDNS","87","Standard query 0x0000 PTR _ipps._tcp.local, ""QM"" question PTR _ipp._tcp.local, ""QM"" question"
"98","64.127431","fe80::d894:a7ff:fe89:62c2","ff02::fb","MDNS","107","Standard query 0x0000 PTR _ipps._tcp.local, ""QM"" question PTR _ipp._tcp.local, ""QM"" question"
"99","64.416291","fe80::ec95:a2ff:fe36:1f4c","ff02::fb","MDNS","107","Standard query 0x0000 PTR _ipps._tcp.local, ""QM"" question PTR _ipp._tcp.local, ""QM"" question"
"100","70.175892","fe80::ec95:a2ff:fe36:1f4c","ff02::2","ICMPv6","70","Router Solicitation from ee:95:a2:36:1f:4c"
"101","78.367913","172.25.0.1","172.25.0.40","TCP","66","[TCP Keep-Alive] 41064  >  80 [ACK] Seq=3282 Ack=11240 Win=64128 Len=0 TSval=2712823601 TSecr=3115058021"
"102","78.367927","172.25.0.40","172.25.0.1","TCP","66","[TCP Keep-Alive ACK] 80  >  41064 [ACK] Seq=11240 Ack=3283 Win=64128 Len=0 TSval=3115104853 TSecr=2712776813"
"103","83.487900","3a:b2:32:10:d2:de","da:94:a7:89:62:c2","ARP","42","Who has 172.25.0.1? Tell 172.25.0.40"
"104","83.487925","da:94:a7:89:62:c2","3a:b2:32:10:d2:de","ARP","42","Who has 172.25.0.40? Tell 172.25.0.1"
"105","83.487956","3a:b2:32:10:d2:de","da:94:a7:89:62:c2","ARP","42","172.25.0.40 is at 3a:b2:32:10:d2:de"
"106","83.487954","da:94:a7:89:62:c2","3a:b2:32:10:d2:de","ARP","42","172.25.0.1 is at da:94:a7:89:62:c2"
"107","123.316255","172.25.0.1","239.255.255.250","SSDP","214","M-SEARCH * HTTP/1.1 "
"108","123.423860","172.25.0.1","172.25.0.40","TCP","66","[TCP Keep-Alive] 41064  >  80 [ACK] Seq=3282 Ack=11240 Win=64128 Len=0 TSval=2712868657 TSecr=3115104853"
"109","123.423901","172.25.0.40","172.25.0.1","TCP","54","80  >  41064 [RST] Seq=11240 Win=0 Len=0"
"110","124.317438","172.25.0.1","239.255.255.250","SSDP","214","M-SEARCH * HTTP/1.1 "
"111","125.317711","172.25.0.1","239.255.255.250","SSDP","214","M-SEARCH * HTTP/1.1 "
"112","125.637864","172.25.0.1","224.0.0.251","MDNS","87","Standard query 0x0000 PTR _ipps._tcp.local, ""QM"" question PTR _ipp._tcp.local, ""QM"" question"
"113","126.318748","172.25.0.1","239.255.255.250","SSDP","214","M-SEARCH * HTTP/1.1 "
"114","128.127968","fe80::d894:a7ff:fe89:62c2","ff02::fb","MDNS","107","Standard query 0x0000 PTR _ipps._tcp.local, ""QM"" question PTR _ipp._tcp.local, ""QM"" question"
"115","128.417004","fe80::ec95:a2ff:fe36:1f4c","ff02::fb","MDNS","107","Standard query 0x0000 PTR _ipps._tcp.local, ""QM"" question PTR _ipp._tcp.local, ""QM"" question"
"116","128.543788","3a:b2:32:10:d2:de","da:94:a7:89:62:c2","ARP","42","Who has 172.25.0.1? Tell 172.25.0.40"
"117","128.543811","da:94:a7:89:62:c2","3a:b2:32:10:d2:de","ARP","42","172.25.0.1 is at da:94:a7:89:62:c2"
"118","128.543890","da:94:a7:89:62:c2","3a:b2:32:10:d2:de","ARP","42","Who has 172.25.0.40? Tell 172.25.0.1"
"119","128.543915","3a:b2:32:10:d2:de","da:94:a7:89:62:c2","ARP","42","172.25.0.40 is at 3a:b2:32:10:d2:de"
"120","143.903881","fe80::ec95:a2ff:fe36:1f4c","ff02::2","ICMPv6","70","Router Solicitation from ee:95:a2:36:1f:4c"
"121","243.316976","172.25.0.1","239.255.255.250","SSDP","214","M-SEARCH * HTTP/1.1 "
"122","244.318184","172.25.0.1","239.255.255.250","SSDP","214","M-SEARCH * HTTP/1.1 "
"123","245.318642","172.25.0.1","239.255.255.250","SSDP","214","M-SEARCH * HTTP/1.1 "
"124","246.318809","172.25.0.1","239.255.255.250","SSDP","214","M-SEARCH * HTTP/1.1 "
"125","253.681166","172.25.0.1","224.0.0.251","MDNS","87","Standard query 0x0000 PTR _ipps._tcp.local, ""QM"" question PTR _ipp._tcp.local, ""QM"" question"
"126","256.128775","fe80::d894:a7ff:fe89:62c2","ff02::fb","MDNS","107","Standard query 0x0000 PTR _ipps._tcp.local, ""QM"" question PTR _ipp._tcp.local, ""QM"" question"
"127","256.417767","fe80::ec95:a2ff:fe36:1f4c","ff02::fb","MDNS","107","Standard query 0x0000 PTR _ipps._tcp.local, ""QM"" question PTR _ipp._tcp.local, ""QM"" question"
"128","301.599884","fe80::ec95:a2ff:fe36:1f4c","ff02::2","ICMPv6","70","Router Solicitation from ee:95:a2:36:1f:4c"
"129","363.317773","172.25.0.1","239.255.255.250","SSDP","214","M-SEARCH * HTTP/1.1 "
"130","364.319105","172.25.0.1","239.255.255.250","SSDP","214","M-SEARCH * HTTP/1.1 "
"131","365.319296","172.25.0.1","239.255.255.250","SSDP","214","M-SEARCH * HTTP/1.1 "
"132","366.320804","172.25.0.1","239.255.255.250","SSDP","214","M-SEARCH * HTTP/1.1 "
"133","483.319034","172.25.0.1","239.255.255.250","SSDP","214","M-SEARCH * HTTP/1.1 "
