"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","::","ff02::1:ff0c:28a5","ICMPv6","86","Neighbor Solicitation for fe80::4cde:e6ff:fe0c:28a5"
"2","0.127877","::","ff02::16","ICMPv6","90","Multicast Listener Report Message v2"
"3","0.182036","3a:15:c9:71:30:ea","Broadcast","ARP","42","ARP Announcement for 172.25.2.50"
"4","0.283991","::","ff02::16","ICMPv6","110","Multicast Listener Report Message v2"
"5","0.543294","172.25.2.1","224.0.0.251","MDNS","119","Standard query response 0x0000 PTR, cache flush debian.local A, cache flush 172.25.2.1"
"6","0.678252","12:a2:db:5b:74:d8","Broadcast","ARP","42","ARP Announcement for 172.25.2.40"
"7","0.828084","fe80::484f:c0ff:fe76:ffb6","ff02::16","ICMPv6","110","Multicast Listener Report Message v2"
"8","0.839895","fe80::484f:c0ff:fe76:ffb6","ff02::16","ICMPv6","90","Multicast Listener Report Message v2"
"9","0.839915","fe80::484f:c0ff:fe76:ffb6","ff02::16","ICMPv6","130","Multicast Listener Report Message v2"
"10","0.919231","fe80::484f:c0ff:fe76:ffb6","ff02::fb","MDNS","212","Standard query 0x0000 ANY 6.b.f.f.6.7.e.f.f.f.0.c.f.4.8.4.0.0.0.0.0.0.0.0.0.0.0.0.0.8.e.f.ip6.arpa, ""QM"" question ANY debian.local, ""QM"" question AAAA fe80::484f:c0ff:fe76:ffb6 PTR debian.local"
"11","0.919268","172.25.2.1","224.0.0.251","MDNS","192","Standard query 0x0000 ANY 6.b.f.f.6.7.e.f.f.f.0.c.f.4.8.4.0.0.0.0.0.0.0.0.0.0.0.0.0.8.e.f.ip6.arpa, ""QM"" question ANY debian.local, ""QM"" question AAAA fe80::484f:c0ff:fe76:ffb6 PTR debian.local"
"12","0.928620","fe80::484f:c0ff:fe76:ffb6","ff02::fb","MDNS","107","Standard query 0x0000 PTR _ipps._tcp.local, ""QM"" question PTR _ipp._tcp.local, ""QM"" question"
"13","1.020075","fe80::4cde:e6ff:fe0c:28a5","ff02::16","ICMPv6","90","Multicast Listener Report Message v2"
"14","1.020085","fe80::4cde:e6ff:fe0c:28a5","ff02::2","ICMPv6","70","Router Solicitation from 4e:de:e6:0c:28:a5"
"15","1.035881","fe80::4cde:e6ff:fe0c:28a5","ff02::16","ICMPv6","90","Multicast Listener Report Message v2"
