"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","02:e6:91:35:e7:85","Broadcast","ARP","42","ARP Announcement for 172.25.1.10"
"2","0.058281","::","ff02::16","ICMPv6","110","Multicast Listener Report Message v2"
"3","0.180485","c6:26:ec:5a:48:bc","Broadcast","ARP","42","ARP Announcement for 172.25.1.20"
"4","0.190239","::","ff02::1:ff81:eeec","ICMPv6","86","Neighbor Solicitation for fe80::d0af:68ff:fe81:eeec"
"5","0.282441","::","ff02::16","ICMPv6","90","Multicast Listener Report Message v2"
"6","0.352777","9e:b7:db:e1:d9:5a","Broadcast","ARP","42","ARP Announcement for 172.25.1.30"
"7","0.554053","172.25.1.1","224.0.0.251","MDNS","119","Standard query response 0x0000 PTR, cache flush debian.local A, cache flush 172.25.1.1"
"8","0.572899","be:d6:af:16:03:5b","Broadcast","ARP","42","ARP Announcement for 172.25.1.40"
"9","0.730318","fe80::14e9:4dff:fe4d:727","ff02::16","ICMPv6","110","Multicast Listener Report Message v2"
"10","0.742285","fe80::14e9:4dff:fe4d:727","ff02::16","ICMPv6","90","Multicast Listener Report Message v2"
"11","0.821110","fe80::14e9:4dff:fe4d:727","ff02::fb","MDNS","212","Standard query 0x0000 ANY 7.2.7.0.d.4.e.f.f.f.d.4.9.e.4.1.0.0.0.0.0.0.0.0.0.0.0.0.0.8.e.f.ip6.arpa, ""QM"" question ANY debian.local, ""QM"" question AAAA fe80::14e9:4dff:fe4d:727 PTR debian.local"
"12","0.821141","172.25.1.1","224.0.0.251","MDNS","192","Standard query 0x0000 ANY 7.2.7.0.d.4.e.f.f.f.d.4.9.e.4.1.0.0.0.0.0.0.0.0.0.0.0.0.0.8.e.f.ip6.arpa, ""QM"" question ANY debian.local, ""QM"" question AAAA fe80::14e9:4dff:fe4d:727 PTR debian.local"
"13","0.830595","fe80::14e9:4dff:fe4d:727","ff02::fb","MDNS","107","Standard query 0x0000 PTR _ipps._tcp.local, ""QM"" question PTR _ipp._tcp.local, ""QM"" question"
"14","0.978398","fe80::14e9:4dff:fe4d:727","ff02::16","ICMPv6","130","Multicast Listener Report Message v2"
"15","1.000769","02:e6:91:35:e7:85","Broadcast","ARP","42","ARP Announcement for 172.25.1.10"
